Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SNUN	MG0055	Unaí	UNAÍ	Minas Gerais	Unaí	Minas Gerais	-16.353888889	-46.926944444	16°21'14.0S"	16.000000000	0.350000000	0.003888889	046°55'37.0W"	46.000000000	0.916666667	0.010277778	609	VFR	Sem Operação	17/35	1100	30	10/F/C/X/U	Asfalto						Interditado			
SWEK	MT0024	Canarana	CANARANA	Mato Grosso	Canarana	Mato Grosso	-13.577500000	-52.268055556	13°34'39.0S"	13.000000000	0.566666667	0.010833333	052°16'05.0W"	52.000000000	0.266666667	0.001388889	398	VFR	Sem Operação	18/36	685	18	5700 Kg / 0.50 MPa	Terra						Cadastrado	19/04/2030	PA2020-1083	https://pergamum.anac.gov.br/arquivos/PA2020-1083.pdf
SNBZ	BA0042	Paramirim	PARAMIRIM	Bahia	Paramirim	Bahia	-13.490555556	-42.229166667	13°29'26.0S"	13.000000000	0.483333333	0.007222222	042°13'45.0W"	42.000000000	0.216666667	0.012500000	639	VFR		18/36	1179	25	5700 Kg / 0.50 MPa	Cascalho						Interditado	23/06/2030	PA2020-1558	https://pergamum.anac.gov.br/arquivos/PA2020-1558.pdf
SILC	MT0025	Aeroporto Municipal Bom Futuro	LUCAS DO RIO VERDE	Mato Grosso	Lucas do Rio Verde	Mato Grosso	-13.037777778	-55.950277778	13°02'16.0S"	13.000000000	0.033333333	0.004444444	055°57'01.0W"	55.000000000	0.950000000	0.000277778	414	VFR	VFR	08/26	1730	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	14/11/2029	PA2019-3497	https://pergamum.anac.gov.br/arquivos/PA2019-3497.pdf
SSSS	SC0022	São Francisco do Sul	SÃO FRANCISCO DO SUL	Santa Catarina	São Francisco do Sul	Santa Catarina	-26.221111111	-48.564444444	26°13'16.0S"	26.000000000	0.216666667	0.004444444	048°33'52.0W"	48.000000000	0.550000000	0.014444444	15	VFR	Sem Operação	18/36	700	35	2500 Kg / 0.50 MPa	Grama						Cadastrado	20/05/2030	PA2020-1290	https://pergamum.anac.gov.br/arquivos/PA2020-1290.pdf
SNTM	MG0068	Turmalina	TURMALINA	Minas Gerais	Turmalina	Minas Gerais	-17.233888889	-42.733888889	17°14'02.0S"	17.000000000	0.233333333	0.000555556	042°44'02.0W"	42.000000000	0.733333333	0.000555556	882	VFR	Sem Operação	01/19	1000	30	2500 Kg / 0.50 MPa	Terra						Interditado			
SWJN	MT0007	Juína	JUÍNA	Mato Grosso	Juína	Mato Grosso	-11.419444444	-58.701666667	11°25'10.0S"	11.000000000	0.416666667	0.002777778	058°42'06.0W"	58.000000000	0.700000000	0.001666667	330	VFR	Sem Operação	17/35	1550	30	5500 Kg / 0.50 MPa	Asfalto						Cadastrado	23/09/2020	PA2020-2414	https://pergamum.anac.gov.br/arquivos/PA2020-2414.pdf
SSIE	MS0002	Teruel Ipanema Estância	CAMPO GRANDE	Mato Grosso do Sul	Campo Grande	Mato Grosso do Sul	-20.603888889	-54.595277778	20°36'14.0S"	20.000000000	0.600000000	0.003888889	054°35'43.0W"	54.000000000	0.583333333	0.011944444	528	VFR	Sem Operação	06/24	1500	30	5700 Kg / 0.50 MPa	Cascalho						Cadastrado	23/04/2030	PA2020-1075	https://pergamum.anac.gov.br/arquivos/PA2020-1075.pdf
SSGW	PR0037	Manoel Ribas	GOIOERÊ	Paraná	Goioerê	Paraná	-24.219722222	-53.043888889	24°13'11.0S"	24.000000000	0.216666667	0.003055556	053°02'38.0W"	53.000000000	0.033333333	0.010555556	491	VFR	Sem Operação	05/23	799	18	8/F/B/Y/U	Asfalto						Cadastrado	05/10/2026	PA2019-1478	https://pergamum.anac.gov.br/arquivos/PA2019-1478.pdf
SNKN	RN0004	Currais Novos	CURRAIS NOVOS	Rio Grande do Norte	Currais Novos	Rio Grande do Norte	-6.280833333	-36.540277778	06°16'51.0S"	6.000000000	0.266666667	0.014166667	036°32'25.0W"	36.000000000	0.533333333	0.006944444	367	VFR	Sem Operação	10/28	1040	30	6/F/B/Y/U	Piçarra						Cadastrado	13/04/2020	PA2020-0981	https://pergamum.anac.gov.br/arquivos/PA2020-0981.pdf
